,Iterations per Move,Group,Mode,Metric,Value
0,5,EB,mini,draw,0.0
1,5,EB,mini,win,0.86
2,5,EB,mini,loss,0.14
3,5,EB,mini,time,2.471106767654419
4,25,EB,mini,draw,0.0
5,25,EB,mini,win,0.943
6,25,EB,mini,loss,0.057
7,25,EB,mini,time,9.91199278831482
8,50,EB,mini,draw,0.0
9,50,EB,mini,win,0.978
10,50,EB,mini,loss,0.022
11,50,EB,mini,time,16.826877117156982
12,100,EB,mini,draw,0.0
13,100,EB,mini,win,0.991
14,100,EB,mini,loss,0.009
15,100,EB,mini,time,26.481451988220215
16,200,EB,mini,draw,0.0
17,200,EB,mini,win,0.994
18,200,EB,mini,loss,0.006
19,200,EB,mini,time,44.03815293312073
20,500,EB,mini,draw,0.0
21,500,EB,mini,win,0.995
22,500,EB,mini,loss,0.005
23,500,EB,mini,time,75.96342301368713
24,1000,EB,mini,draw,0.0
25,1000,EB,mini,win,0.995
26,1000,EB,mini,loss,0.005
27,1000,EB,mini,time,124.55403208732605
28,5,EB,random,draw,0.0
29,5,EB,random,win,0.823
30,5,EB,random,loss,0.177
31,5,EB,random,time,2.5619468688964844
32,25,EB,random,draw,0.001
33,25,EB,random,win,0.959
34,25,EB,random,loss,0.04
35,25,EB,random,time,9.548139810562134
36,50,EB,random,draw,0.0
37,50,EB,random,win,0.99
38,50,EB,random,loss,0.01
39,50,EB,random,time,15.968111991882324
40,100,EB,random,draw,0.0
41,100,EB,random,win,0.996
42,100,EB,random,loss,0.004
43,100,EB,random,time,28.386735200881958
44,200,EB,random,draw,0.0
45,200,EB,random,win,1.0
46,200,EB,random,loss,0.0
47,200,EB,random,time,51.743693113327026
48,500,EB,random,draw,0.0
49,500,EB,random,win,1.0
50,500,EB,random,loss,0.0
51,500,EB,random,time,104.67874789237976
52,1000,EB,random,draw,0.0
53,1000,EB,random,win,1.0
54,1000,EB,random,loss,0.0
55,1000,EB,random,time,192.29558610916138
56,5,AB,mini,draw,0.06
57,5,AB,mini,win,0.84
58,5,AB,mini,loss,0.1
59,5,AB,mini,time,1.8694562911987305
60,25,AB,mini,draw,0.081
61,25,AB,mini,win,0.852
62,25,AB,mini,loss,0.067
63,25,AB,mini,time,1.99104905128479
64,50,AB,mini,draw,0.061
65,50,AB,mini,win,0.885
66,50,AB,mini,loss,0.054
67,50,AB,mini,time,2.117719888687134
68,100,AB,mini,draw,0.074
69,100,AB,mini,win,0.862
70,100,AB,mini,loss,0.064
71,100,AB,mini,time,2.3306949138641357
72,200,AB,mini,draw,0.076
73,200,AB,mini,win,0.862
74,200,AB,mini,loss,0.062
75,200,AB,mini,time,2.7451510429382324
76,500,AB,mini,draw,0.105
77,500,AB,mini,win,0.806
78,500,AB,mini,loss,0.089
79,500,AB,mini,time,3.9905331134796143
80,1000,AB,mini,draw,0.098
81,1000,AB,mini,win,0.822
82,1000,AB,mini,loss,0.08
83,1000,AB,mini,time,5.799026012420654
84,5,AB,random,draw,0.034
85,5,AB,random,win,0.842
86,5,AB,random,loss,0.124
87,5,AB,random,time,1.7989940643310547
88,25,AB,random,draw,0.012
89,25,AB,random,win,0.968
90,25,AB,random,loss,0.02
91,25,AB,random,time,2.414184808731079
92,50,AB,random,draw,0.011
93,50,AB,random,win,0.977
94,50,AB,random,loss,0.012
95,50,AB,random,time,2.7270350456237793
96,100,AB,random,draw,0.004
97,100,AB,random,win,0.993
98,100,AB,random,loss,0.003
99,100,AB,random,time,3.2154669761657715
100,200,AB,random,draw,0.008
101,200,AB,random,win,0.985
102,200,AB,random,loss,0.007
103,200,AB,random,time,3.931658983230591
104,500,AB,random,draw,0.005
105,500,AB,random,win,0.988
106,500,AB,random,loss,0.007
107,500,AB,random,time,5.75226616859436
108,1000,AB,random,draw,0.005
109,1000,AB,random,win,0.988
110,1000,AB,random,loss,0.007
111,1000,AB,random,time,8.674746990203857
