Node-Depth,0,1,2,3,4,5,6
D0,0.020831163420477073,0.03669388129529399,0.16016622657027835,0.8836851262424553,0.10255752836356646,0.1384544382339368,-0.0579626141138965
D1,NA,NA,NA,1,NA,NA,NA
D0,0.2599480103979203,0.2829654782116581,0.9266372502980958,0.3901963175222535,0.3528892809880898,0.3881896247500294,0.21945866861741042
D1,NA,1,NA,NA,NA,NA,NA
D0,0.3332478851576519,0.4041693256753882,0.42848398286064077,0.4837929366231253,0.810585591272947,0.9575708084607465,0.13037809647979132
D1,NA,NA,NA,NA,1,NA,NA
D0,-0.5380476556495004,-0.017540782318891425,0.11763552592883048,0.08234325373485474,0.1296176279974076,0.9310781288311716,0.12961762799740764
D1,NA,NA,NA,NA,1,NA,NA
D0,-0.998003992015968,-0.998003992015968,0.05260389268805893,-0.4993757802746567,0.21420921099607276,0.9549695294019364,0.1851166234727878
D1,NA,NA,NA,1,NA,NA,NA
D0,0.5948614099481079,0.7324374243678748,0.5253346890357568,0.7121789799295014,0.7122799808232311,0.9999976921354915,0.6091253878864498
