,t=0,t=1,t=2,t=3,t=4,t=5,t=6,t=7,t=8,t=9,t=10,t=11,t=12,t=13,t=14,t=15,t=16,t=17,t=18,t=19,t=20,t=21,t=22,t=23,t=24,t=25,t=26,t=27,t=28,t=29,t=30,t=31,t=32,t=33,t=34,t=35,t=36,t=37,t=38,t=39,t=40,t=41,t=42,t=43,t=44,t=45,t=46,t=47,t=48,t=49,t=50,t=51,t=52,t=53,t=54,t=55,t=56,t=57,t=58,t=59,t=60
10,1221.0622786771032,1216.87916240745,1212.4583794489627,1207.78582800402,1202.8476461866335,1197.630377449767,1192.1211488281513,1186.3078623355423,1180.179399248417,1173.725834430446,1166.9386512425126,1159.8109527977801,1152.337665063305,1144.5157270598477,1136.3442630885077,1127.8247314244832,1118.9610432145798,1109.7596445036409,1100.2295538859664,1090.382349511226,1080.2321012984653,1069.7952454810031,1059.090400065902,1048.1381214321204,1036.9606041345537,1025.5813280979162,1014.0246598788459,1002.2662918933008,990.206289684089,977.8034478273717,964.979258482811,951.673094568001,937.8275201655905,923.3894555654848,908.3277553731621,892.6258996373101,876.2910292308254,859.3543347342054,841.8712568789508,823.533079867797,804.1138726993779,783.3766739985936,761.1377615007752,737.3330614815488,712.0506119860452,685.1730022120854,655.4468550533952,621.3939160332751,582.0895142433001,537.749038183,490.0000000000001,441.00000000000006,392.00000000000006,343.0,294.0,245.0,196.0,147.0,98.0,49.0,0.0
11,1319.5570388332626,1313.9765079397157,1308.106040062404,1301.936093077,1295.4582047995914,1288.6651616370473,1281.551164839271,1274.111990465203,1266.3451382693995,1258.2499642291377,1249.8277924757938,1241.0820023952972,1232.0180867282952,1222.6436766454071,1212.968530034632,1203.0044796871694,1192.7653388053168,1182.2667623807356,1171.526064504428,1160.5619932527284,1149.3944662412941,1138.0442714313667,1126.5327392727327,1114.8813937328855,1102.992588131987,1090.8294204580252,1078.3396761545064,1065.456113833617,1052.1290960679785,1038.3044451206129,1023.9410840794292,1009.0084630471212,993.4905092140991,977.3910765633528,960.7328648965324,943.5596923438061,925.8283554567867,907.3023761793679,887.733495479785,866.933911091773,844.7539494841681,821.1312249697427,796.1246884387101,769.9163153958713,741.6029566854652,709.939517123351,673.7557286199146,632.59995798874,587.1243267281001,539.0000000000001,490.0000000000001,441.00000000000006,392.00000000000006,343.0,294.0,245.0,196.0,147.0,98.0,49.0,0.0
12,1410.5703926241567,1403.4688637952668,1396.0595697284825,1388.3404388913532,1380.3109974142935,1371.9724563586049,1363.327779238438,1354.3817264317468,1345.1408734723336,1335.6136007831326,1325.810052859967,1315.7420654761343,1305.4230601630939,1294.8679060425154,1284.0927500444864,1273.1148176338156,1261.9521873409403,1250.6235435809915,1239.1479133501323,1227.5443933744832,1215.7789695231236,1203.7899608033001,1191.5438493197594,1178.9774792511528,1166.0462667768575,1152.7014917177673,1138.8963154826001,1124.594885601283,1109.7687722730625,1094.4034099705354,1078.498508527285,1062.0700714781424,1045.1513742357042,1027.7915345208166,1009.8502041451006,991.1407159463953,971.4530764360039,950.6037766926399,928.4740579054949,905.0142047192169,880.2744599542657,854.4176949387888,827.1013767723058,797.1998533173195,763.5926121249795,725.4498337954459,682.736079205019,636.3870287096701,588.0000000000001,539.0000000000001,490.0000000000001,441.00000000000006,392.00000000000006,343.0,294.0,245.0,196.0,147.0,98.0,49.0,0.0
13,1494.241339452525,1485.6844583668394,1476.8406805264285,1467.7157409351971,1458.316926815423,1448.6530444296272,1438.7343607274247,1428.572519301344,1418.1804307585967,1407.5721382524628,1396.7626596005866,1385.7678081316994,1374.6039951238508,1363.2880173941844,1351.836834231609,1340.2673383810572,1328.5908812488126,1316.727139993024,1304.6544158776578,1292.3290433793672,1279.7021600711907,1266.731805830824,1253.3714747213974,1239.5836261284521,1225.334511933157,1210.5984458952898,1195.3611315021226,1179.6198792948824,1163.3858599989392,1146.6841023219258,1129.553268211348,1112.0364649445535,1093.9215556534027,1075.051576785989,1055.2529494268774,1034.36518290736,1012.2772893787161,988.9508020647922,964.4275462240896,938.8408877289623,912.162552536588,883.5672202647863,851.9875217472411,816.4920814170582,776.5908430985753,732.586531472544,685.5709200967691,637.0000000000001,588.0000000000001,539.0000000000001,490.0000000000001,441.00000000000006,392.00000000000006,343.0,294.0,245.0,196.0,147.0,98.0,49.0,0.0
14,1571.537678609821,1561.750983670566,1551.7285594566004,1541.481764086951,1531.0229734048328,1520.365455648634,1509.5232293789363,1498.5109068983343,1487.3435259332684,1476.0363728534699,1464.6048011666905,1453.064049425438,1441.4290630008347,1429.658856789031,1417.7168689353352,1405.5743084645617,1393.180769273042,1380.501954269975,1367.4967826350687,1354.1255653112157,1340.353552748152,1326.1498780113284,1311.492095167445,1296.3658861884414,1280.7673954028255,1264.7045220607292,1248.197116976902,1231.277168036451,1213.9878723643421,1196.2916424067585,1178.030016602169,1159.0235682597847,1139.1255808661667,1118.1995849463447,1096.146220465812,1072.9272580242641,1048.5772266698123,1023.2036512748323,996.9797563255751,969.3037830510045,939.2999875846427,906.0097779976409,868.7283759152408,827.2797297443335,782.2204652511024,734.6996440677384,686.0000000000001,637.0000000000001,588.0000000000001,539.0000000000001,490.0000000000001,441.00000000000006,392.00000000000006,343.0,294.0,245.0,196.0,147.0,98.0,49.0,0.0
15,1643.9363075862607,1633.232638565184,1622.35865834233,1611.3278819061748,1600.15410903151,1588.8512723772287,1577.4332831268016,1565.9138771839182,1554.3064649965804,1542.6057453813323,1530.760099958447,1518.7502810146825,1506.538629175985,1494.0892758458835,1481.3667257207942,1468.3318734741501,1454.9516988132082,1441.193868951872,1427.030761583997,1412.4412518847253,1397.4115514198031,1381.9370678705204,1366.0228224029456,1349.684249595371,1332.9471710836647,1315.8470590190914,1298.4277970418088,1280.5784260471664,1262.168979729991,1243.0463170532234,1223.062617504278,1202.101666748771,1180.0777526313755,1156.9559203164063,1132.7656201670006,1107.6039823097371,1081.6307379496618,1054.627273524264,1025.8048136545378,994.3072183961156,959.324090289552,920.3908189706783,877.6031861000324,831.6912509299967,783.7897508474168,735.0000000000001,686.0000000000001,637.0000000000001,588.0000000000001,539.0000000000001,490.0000000000001,441.00000000000006,392.00000000000006,343.0,294.0,245.0,196.0,147.0,98.0,49.0,0.0
16,1713.025589188666,1701.7238268445362,1690.3151189700877,1678.8119282360658,1667.2263830372049,1655.570160702199,1643.7977101658746,1631.8890048484664,1619.8180647687127,1607.5477752080712,1595.0488311117151,1582.286511933194,1569.2276795716912,1555.84066619328,1542.095864909234,1527.968783374279,1513.4395212148554,1498.494872433385,1483.1293936599784,1467.3460853851147,1451.1569882895133,1434.5830992843553,1417.6540176051144,1400.406969610361,1382.8667681370575,1364.8864772550235,1346.345157468238,1327.1118888893097,1307.0547980486288,1286.063279044034,1264.0639405837903,1241.0262144188096,1216.9746762062437,1191.993432096081,1166.2212440251612,1139.661521361151,1111.7333493212923,1081.647526181025,1048.6138554094946,1011.9960084407128,971.5638174600876,927.6341472687093,881.0397233289553,832.8528255931918,784.0,735.0000000000001,686.0000000000001,637.0000000000001,588.0000000000001,539.0000000000001,490.0000000000001,441.00000000000006,392.00000000000006,343.0,294.0,245.0,196.0,147.0,98.0,49.0,0.0
17,1780.1896854684276,1768.5561501244003,1756.839782284415,1745.0086267719873,1733.0452195522548,1720.9164050869,1708.5957023520677,1696.053154854007,1683.2566648999345,1670.1768362724763,1656.7842236667325,1643.0522222924842,1628.9577452959882,1614.4823263512926,1599.6134978970167,1584.3452672554142,1568.6791305080228,1552.6245002405203,1536.1987883992738,1519.4271669453597,1502.341878529277,1484.9812211996195,1467.3084247941247,1449.2098799778885,1430.5529918187194,1411.2195063824156,1391.0938552965931,1370.0758217038765,1348.096845359124,1325.130411674214,1301.1968827646374,1276.367551110465,1250.7604260146863,1224.5274199332916,1197.2418303855961,1168.262551442635,1136.830689725768,1102.258071330169,1064.0945751450768,1022.3245641219257,977.4329729995482,930.296899704839,881.8969779152342,833.0,784.0,735.0000000000001,686.0000000000001,637.0000000000001,588.0000000000001,539.0000000000001,490.0000000000001,441.00000000000006,392.00000000000006,343.0,294.0,245.0,196.0,147.0,98.0,49.0,0.0
18,1846.2394170312507,1834.222714596478,1822.044293533743,1809.6788833285345,1797.0970099773003,1784.271181841362,1771.1733631048282,1757.7765521629626,1744.0564914584393,1729.9916904047273,1715.5649417251861,1700.764098342795,1685.5829038295371,1670.0216763178225,1654.0876185444101,1637.7950384692542,1621.165142756071,1604.2254887259828,1587.0090965942106,1569.5532125589764,1551.7645465886758,1533.547871977732,1514.7873191613394,1495.3647583447903,1475.1765248708612,1454.133543359307,1432.1732314220208,1409.2706411401653,1385.4444369212065,1360.758462168199,1335.3200415717606,1309.272532033056,1282.4674460759184,1254.3275070753805,1224.1940860182103,1191.367666694553,1155.2872796217175,1115.6887656353306,1072.741876779256,1027.0489396463597,979.4861951555865,930.9278845406639,882.0,833.0,784.0,735.0000000000001,686.0000000000001,637.0000000000001,588.0000000000001,539.0000000000001,490.0000000000001,441.00000000000006,392.00000000000006,343.0,294.0,245.0,196.0,147.0,98.0,49.0,0.0
19,1910.792990962651,1898.176985929052,1885.3253587572954,1872.211922449705,1858.8122599348458,1845.1036096774906,1831.0660501396937,1816.6834721271644,1801.9441540257085,1786.8416344370062,1771.3752382049092,1755.5504673614323,1739.3791554170684,1722.8793364705084,1706.0748768922535,1688.9947898892533,1671.6722921917362,1654.1190956574897,1636.229094720769,1617.9049768825612,1599.0454071764468,1579.5429423751616,1559.2985655889838,1538.2323728331774,1516.2882207954935,1493.4428982316801,1469.7125650413395,1445.1544889425138,1419.8645409638211,1393.970619759443,1367.4886355307021,1339.9928770252097,1310.8855492402229,1279.5209809581884,1245.283735818137,1207.7545637731669,1166.8448934598819,1122.8758583838353,1076.5218154611869,1028.62519236245,979.9495191784647,931.0,882.0,833.0,784.0,735.0000000000001,686.0000000000001,637.0000000000001,588.0000000000001,539.0000000000001,490.0000000000001,441.00000000000006,392.00000000000006,343.0,294.0,245.0,196.0,147.0,98.0,49.0,0.0
